PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
TCGA.VQ.A94O	-1.47601296826656	-0.816436013754661	-1.85920102128488	-0.651312256539183	0.342532908434503	-0.124937272592489	1.32309809545168	-1.3420216437535	0.558165060084843	-2.39310815585629	0.750196995745002	-1.04902224857438	1.54789866219225	-0.657290985983773	0.42596688660515	-0.42832590068601	0.441156292991408	-0.842334960449533	0.296675041922962	-0.733137120438849
TCGA.VQ.A8PH	0.34356259039644	-0.777505531180625	-1.74538780955104	-0.00859990005114012	-0.36152833011259	0.540424476592057	1.21250984347432	0.0199643532096946	-0.243203183290766	-1.49434127564329	0.135723552127989	-1.14492785122102	0.982855405110077	0.259879152085976	0.650303661500614	-0.318910245896584	0.556828550352706	-0.261748730991837	0.0679783164275817	0.167217848743509
TCGA.VQ.AA6G	-0.525503813887464	-0.666273881910453	1.29588637270569	1.57325719664768	2.79752618368228	-1.28383652224602	-1.0630605705113	-0.0802886926286471	0.124395322003083	0.56207299383462	-0.532191978241596	-0.0286299401969204	1.09059719145059	-0.0653588525995717	-0.813348506460405	-1.62973661755517	-0.478745546500416	-0.228758067505313	-0.358903938496857	-1.34688242987511
TCGA.VQ.AA6F	0.303654360467554	-0.271322077487002	0.37139647163663	0.650685445874793	0.859252378920309	-1.02315684038192	0.106803852204908	-0.258538722284045	0.0342738945254977	-0.145617671501001	-0.342377967319721	0.908858009003428	-0.65812920627847	0.210688336162843	0.0197444626294734	-1.13393327208951	-0.27505732636873	0.0533787771403268	-0.327483271277908	0.889060496954246
TCGA.VQ.A91Y	-0.390162164858156	1.59395428992128	0.191495522624523	0.365040511097444	0.454214956767791	0.236646564436119	-0.00160631756287684	0.108031768905906	-0.563829921449222	-1.20037437146635	-0.264542459939274	0.178380487314069	-0.0551131160918921	-0.258649013620797	0.429611449590337	-1.44497791496427	-0.427597017793776	-0.298368978195364	-0.641121331795091	0.0627042339429265
TCGA.VQ.A94U	-0.319004250324225	0.516537260621121	-1.24477207165824	0.746927345314159	0.475122397085323	-0.327223406143185	0.535926827303144	1.4122492848151	-0.210362635642966	-0.00342942238048189	-0.791909865937725	-0.665851354283795	-0.462128015571432	2.12497628551797	1.09120303519735	0.94256170289189	-0.0378204701624386	-0.0748466630881801	1.1424305706105	1.29108145230203
TCGA.VQ.A8PQ	-1.74452816956947	2.62494456209153	0.391857865529564	1.73423503700379	-2.30335074396555	-3.84967863916027	2.3061359313428	1.14781604351159	-0.898727505538297	-1.34887189200731	-2.32260514344935	0.393093279944434	0.188439931203782	0.641556740831228	0.350960795258392	2.11456291285094	-1.52011043731385	2.25158013185534	2.04384044160084	2.53460539725232
TCGA.VQ.A91V	-0.0785293340913088	-0.777988258264502	0.367828015576024	0.91345610347794	2.06218301080552	-0.704505834123439	-0.732415891086598	-0.0183601269219079	-0.0968658583148779	0.267477767064989	-1.28931735857091	1.07189569275957	-0.197661856614485	0.763297905735653	-0.367863374245317	-0.90341109026192	0.431315371086098	0.177447475701833	0.215227290408402	0.944854487308566
TCGA.VQ.A8PF	-0.337578878112036	0.274936976110649	1.00253375990693	0.620813411069656	-1.08849814114822	-1.59281083833827	1.29041570107031	-0.170416574021189	0.021847993790098	-0.735853153843337	0.657840718335248	0.146505928668795	-0.817386517246296	-0.55497407554889	1.20233297100761	-0.858139140197915	-0.441613194097003	-0.838959296911767	-0.0725426041429759	0.488079952699724
TCGA.VQ.A8PM	1.00868956960716	0.276879148510509	-0.222191369467443	0.653664394254508	0.543237303255187	-0.609664405801233	0.696570853822545	-0.733578569713088	0.300241665608901	-0.0530670163963809	0.469048034153945	0.944559941242294	0.104585678659077	-0.00483410157865694	-0.11191255715326	-0.539638146864205	0.243686457781449	-0.333332146227013	-0.672323869340545	-0.0395274866119807
TCGA.VQ.A927	0.800311584499261	0.16785433364106	0.159145244068204	1.45353922128281	1.55501265824909	-0.851787234370441	0.448586153845506	0.175634091121783	0.265427929249162	0.267434689879076	0.0953236350216548	0.521645119482613	0.265490447658012	0.372494011783384	0.0530550370575053	-0.0411081768087245	0.410930317734217	-0.386128576953557	0.333930849119218	-0.443105974395671
TCGA.VQ.A8PP	-1.75658478988059	0.0215125093594964	1.37331564610756	0.855439194604271	0.847827702059727	0.249576143481202	-1.05651076054744	0.251422555740495	-1.65589079560597	0.879729223550293	0.157231106466796	0.772018922798539	0.181447205569304	1.09830424054072	0.919035531095901	0.751484632799724	1.54659280195508	0.768579923007677	-0.0845481832074123	-2.13651617299079
TCGA.VQ.AA69	-4.19170156449592	-0.754409949034631	0.957768379925965	1.18299253946286	-1.49530563524039	1.97906487278464	1.99260327023072	1.35142185522157	-4.30908788536101	0.657619055636448	3.80691618345919	2.5361961483075	-3.81067979967493	-2.36954983063466	-0.841869999181251	-2.76381705386165	2.35039905100258	-7.34423345449157	3.99679199697231	-3.03518691217799
TCGA.VQ.A8E7	-0.0040011047879872	-0.482611756261382	-0.107823205838421	0.305699829785704	1.42816144162633	-0.17496936272436	0.54334353138	0.533024737897252	-0.559069729408992	0.417499879933635	1.30199136050796	-1.18988004307994	0.823339649348249	0.0291730533073961	-0.703802706435767	0.0530896368380507	-0.907211900276397	-0.460414696994081	-0.64413462221308	0.0593076451355895
