PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17
TCGA.A5.AB3J	-0.217957226019466	-1.3116666692339	0.0873926456276836	-1.36809272656747	0.278846949055691	-0.597187268743004	3.50404744394778	-0.0218686853622261	2.07040354670371	-0.180678607913193	1.27093326844697	-0.774238128914931	1.6640948469607	-1.04956718443227	2.76595057960305	0.921265932589699	-1.89310407692136
TCGA.2E.A9G8	-0.0024991544711105	0.358147474241158	0.782157493691937	1.65358310620865	1.37893508081758	1.452405913302	-0.694433798777601	-0.984631289106053	-1.14733361360421	-0.410690903365091	-0.140035899717677	-0.00157149554699211	-1.34808343367847	0.150035503818046	-0.0220428561521487	0.939215030069744	-1.31683487381182
TCGA.5S.A9Q8	1.07583772330359	-0.609813236408343	0.138017994124638	0.165940675404334	0.433448777937397	-1.65747764551894	0.420883809125755	0.0754107869034594	1.51163555485286	-0.207707720318282	0.082721822510511	0.0608185259278248	-2.258730288262	0.228449017654176	0.989104698303016	-0.637260933646356	-0.765955717138407
TCGA.JU.AAVI	1.00490692448968	0.46577508783491	1.36251099112888	0.169707482528855	-0.517044990352728	0.829267873760796	0.0769275477438084	-0.00268681189297356	-0.0132070059806194	0.696214228902064	-0.612690781786402	0.481145986517436	-0.176176039415357	-0.157495507700445	0.481613202329901	-0.156521544630087	0.202268616517835
TCGA.PG.A917	-0.662025004510176	-0.0771283068458132	0.270927814439279	1.24438115195643	-0.254887914315315	0.136961702095187	1.18894706457498	0.364933946235687	1.56473360749428	-2.01831571294609	-0.489217063207719	-0.844638922399118	0.0536393777891443	0.309158328594314	0.363904135036771	0.161235656768872	1.54179993569505
TCGA.AJ.A8CV	-0.218823474639566	-0.360380886799397	-1.26388565829738	1.88013752722127	0.558035152840131	1.70676865901642	0.484070589992199	-0.285850038297012	-0.466084161315646	-0.011024774940659	-0.453962102213911	0.684193036232148	-0.649494375094042	-0.855450352046452	-0.0368329307641877	0.157797867589042	-0.0798675379761197
TCGA.PG.A916	-0.0714932591592719	-1.44771885674151	-1.47682191154889	1.51792813560322	0.936170091928207	0.964305443735981	0.146982200405124	-1.1820356752504	-1.40176450260658	0.420111384317128	0.787928850297378	-0.0676070939190095	-0.308398490457536	-0.386915922096918	-0.175910266836278	0.0385259279364477	0.0253867603498553
TCGA.E6.A8L9	-0.306920351886055	0.496651850504586	0.863108347368317	-0.180062795723568	1.1690898345761	0.0242137090495064	1.26805765627148	-1.06394269344504	0.152299797950005	0.058426435846668	-0.629551766458359	-0.192705282351932	-1.48500263686899	-0.676563097107803	-1.06043291984836	-0.900158392229901	-0.332272694349126
TCGA.AJ.A8CT	0.700469905267487	-2.29890894956323	-1.7051040788482	0.718847803526691	2.99512439386336	3.51712133583798	1.36137329348517	-0.639248833419126	-1.34292331116541	0.0314217122282659	1.47526882487801	2.34951323132074	-1.7166725410652	-1.60781178978654	-0.357166636025502	-1.43553187050907	-0.976912003975791
TCGA.4E.A92E	-1.45395604868905	-1.23512584261352	-0.605220857224099	-0.589029834741241	-0.846464242572276	-0.162567868125379	0.903323667020931	-0.634330879317674	1.26186486644797	-1.52575817102999	-0.661488221750276	-1.35160066196309	-1.51480080616849	0.153171516597344	0.395555551832253	-0.632934359588197	0.3766117811987
TCGA.PG.A915	-1.11844479866717	1.07849934273435	1.08444066390658	0.197323913881098	0.913100732440971	0.00886319852029036	-0.652897472099916	-1.4044316518815	-0.382177590896541	-0.980306548877229	-1.68814246875176	0.104422801803275	0.407023282050877	0.859816696118388	0.611995004563185	0.119337071402206	-1.70648498129706
TCGA.PG.A914	-0.587959909972942	0.852990731149235	0.815261281447042	-0.427354506665702	1.04203883987482	0.715009596191018	-1.47484461962698	-0.797382345124462	0.809017856192775	-1.09804858571876	-0.501189751924289	-0.375969583882222	-0.770896928282544	-1.14264490605377	0.23806107356151	0.569679219947777	-0.591206301328782
TCGA.QS.A8F1	1.78207979583534	1.10194566267785	1.07695157974229	0.444616716914178	1.20533686386245	0.0686515246663185	0.280397846535179	0.752299520476563	-0.125105440243247	2.47534479937069	-0.561045273994601	-2.83497363805736	0.848772661628382	0.691753667598759	0.0900507325002456	-1.11577730104306	-0.39819232218209
TCGA.5B.A90C	-1.71829441173055	0.511358262542071	1.20275856852821	0.652774395533255	-0.602483853938763	-0.398383703265305	-1.04447624926769	-1.13909560041642	-0.809706303824268	-0.479078804896654	-0.4633125498574	0.13500743260248	-0.880632608829432	-1.21029828102942	0.969524322294679	0.184657392643037	-0.0519070727383329
TCGA.AJ.A8CW	-1.17145250344707	0.0885987807697218	-0.334265988264201	1.25145134653081	-0.0692982934881697	-0.894811830549282	-0.189792305345132	1.03388247152461	1.75229292600015	-2.11589857770772	0.0564981294067853	-0.617178030743118	0.0851440702947381	-0.877492716755697	1.01796890418063	-0.646536775095509	-0.226608974582015
TCGA.A5.A7WJ	-1.6703336544608	-0.329172992434329	-0.814512086075975	0.940472323204141	-1.107269664854	-0.823950074254853	-1.47130426881733	0.859434727737395	2.66453111599757	-0.45966310653864	1.65632751520941	1.21202727223053	0.901752262571652	0.0382685328760716	1.21108899649167	-1.24280468372722	-1.89523957141329
TCGA.AJ.A6NU	-1.4486924624413	-0.871830851878206	0.494591951273512	-1.2214211810369	-1.34066164280736	2.17774378042009	-0.298701963759938	-0.788582209556004	2.22860729436618	0.0112701528862439	1.16317146335459	-0.0883249747556695	-0.345051709623966	0.901418362935403	3.26885453110309	-1.16797601896003	0.291087369937902
