PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25
TCGA.WS.AB45	-2.72336503884328	4.70118320958075	-0.895440914678484	1.62873909737285	-0.971477904031695	1.03466305540487	-2.55210392002889	1.60272262072748	-0.11642596103992	0.285177248990229	-2.75748735165	0.209138832964375	-2.33626911696702	2.89722059409241	2.67490145830215	-0.0995854886057747	4.20350405512545	-1.73620602951233	3.78035857781081	-0.562487596437022	3.6298530997808	-0.585853743333486	0.0465565692442603	-2.03053204182444	2.3781939804091
TCGA.QL.A97D	0.431846353164076	-0.366048712190405	-0.410298423050648	-0.786450272421307	1.05674276061157	-0.168893849624805	-0.446746541730893	0.0892924405843948	0.0519408732682054	-0.436276512134197	1.03627652928542	0.590066022821972	-0.478501041726358	2.05853894734499	0.388463927561066	0.265953922599347	-0.657128924631567	0.824799478416514	-0.59893685944585	0.272661162958943	-0.158119677374851	-0.101157334299345	-1.28444690564487	-0.0766408291296901	0.786702778846789
TCGA.5M.AATA	0.0954500458815853	-0.112194214798741	0.497507217504139	-0.707643472938611	0.238585025019464	-0.771584461413903	-1.26593888257923	-0.896705988289843	-0.290298622461854	-0.231397540086218	-0.285521260749468	0.351189733988219	-0.0143682018420999	-0.39791118391989	1.23293876581432	-1.01029963809949	-0.474831448572598	1.18044221101977	2.24726490457031	-0.60517610601554	0.294389092474119	-0.551242499357549	-0.429062221249375	-1.53087985678688	-0.255350501534558
TCGA.5M.AAT5	0.412466213438317	-0.932995604312996	0.484885062190447	-0.657647268758058	0.295487345044516	-0.434707188459133	-0.910041690520541	-0.472781534248968	-0.582725600295984	-0.56422034947141	-0.143054042852476	0.01497326380323	0.0704706104723242	1.83993598794488	0.171777786954881	-1.09473094234	0.514593928349243	-0.293810748299889	-0.0493618068620926	-1.13756838355859	-1.17427916241063	-1.59795465076421	-0.178045374178611	-0.891627193306187	-0.832509411999514
TCGA.5M.AAT6	-0.314635245610275	1.00612309197028	-0.115922787504522	1.16581111920251	0.11991414212927	-1.32066426918861	-1.72772411869647	-1.29150672291657	-0.0149742318932706	-0.457340135794495	0.0337906170171971	0.968693828844862	-0.756937973575586	-0.364908412809979	0.511398005068175	0.31371313562133	-0.025342474497852	0.451715377682875	0.613908813316533	-0.726315603422552	0.313671430755907	-0.131438959763717	-0.025434592505219	-0.469170423855729	1.6755289794774
TCGA.NH.A6GC	0.729504053860983	0.745269704617282	-0.442954211613422	-1.61253084413503	1.21781789249196	-0.477890291595202	1.28898069848376	-1.29542289722945	1.5623889484856	1.47831696365413	-0.743975989983719	1.21892058375385	-0.708480425935927	0.865152424231092	0.34199305222856	0.822191043084936	1.74214845529353	-0.53705583377672	-0.417919269422584	1.50253461242745	-0.899761995705607	1.80254508859709	-1.15491623807687	0.0424892220655058	-0.475170142232848
TCGA.5M.AAT4	0.0392465826360273	-0.850063094093579	0.898740384622658	-0.5404974876499	0.26600731025376	-0.865959462372606	-0.970570506478302	-1.06579468376937	0.113021432446192	-0.264864971910892	-0.92268877495388	0.691047310186145	0.00901114691294065	-0.59840677740745	0.356664699504856	-0.811660387401637	0.134043578882816	0.348355220362083	-1.19322476735815	-0.735908163312232	1.35878259487999	-0.384440559234072	-1.31920972040307	-0.0324797065563904	0.169552139618934
TCGA.NH.A8F8	0.431085395076374	0.161287949219206	0.125019632364411	-1.45429046143571	0.147055768316116	-0.244417404377036	-0.965332810332499	-0.855189610324215	0.415425529171452	-0.588975894558261	-0.0825593137135163	-0.282866082684628	-0.0331781877236352	1.06700937053409	0.260952092563975	-1.31687860507485	-0.689339738471211	-0.174093850349518	0.127585875901253	-0.635133267068868	-0.719481978633413	-1.23805359494567	0.809500426636871	-0.601819502074472	0.471618412573785
TCGA.NH.A8F7	-0.190626319669564	-0.676017098327173	0.834074812403613	-2.2908465376409	0.511285960353362	-0.362543713474195	-0.422934125770308	0.282190225744649	0.0459322837917331	0.160946123926871	0.302354757804425	-0.828573443069633	-0.794075286130827	-0.400926040085265	-1.53569589140615	-0.592132881093293	-1.14613905961399	-0.716825089880685	1.22268385024279	-0.17048622239558	2.37661083105537	0.864408291494349	-0.962036962717998	0.843537719601831	-0.656255300681416
TCGA.4T.AA8H	1.09588919339573	-0.0683637814246342	-0.880526478161542	-0.996768662549068	1.40396272548709	-0.0550999560840668	0.364916153412327	-0.515377746377479	-0.218603649201866	-0.0639218646016657	-0.287450137230041	0.419711839208603	-0.168437709426313	-0.421425609086725	0.445531872197593	-1.1476731566203	-0.0509865887718428	0.986049834323535	0.287658374698705	-0.686158877556093	0.274752093564154	-0.556558114614473	-0.737442708802124	0.563122767889457	1.23295110227437
TCGA.AY.A8YK	0.487983371503185	-0.292632823308392	0.422759267933524	-1.3978977926441	0.231581714370314	0.212379719793165	0.128070741330283	0.681904569089394	0.0802314072390737	-0.790929309978744	0.941486598610487	0.599754514356259	-0.22282395461727	-0.149874818342006	-0.759817211677302	-0.623314949181726	0.78888671626668	-1.37897387247213	0.710094948431667	-0.278409417273165	0.518297927723682	-0.35343491476749	-0.450626543703701	-0.582331501373432	0.753186398310483
